Start on cuda:0!
12 examples in training set and 4 examples in validation set
epoch: 7, epoch_time: 34s, train_loss: 0.437, best_loss: 0.437, lr: 2.00e-02, train_mIoU: 0.044, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 8, epoch_time: 27s, train_loss: 0.451, best_loss: 0.437, lr: 1.00e-02, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 9, epoch_time: 26s, train_loss: 0.451, best_loss: 0.437, lr: 6.19e-03, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 10, epoch_time: 29s, train_loss: 0.451, best_loss: 0.437, lr: 2.95e-03, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 11, epoch_time: 27s, train_loss: 0.451, best_loss: 0.437, lr: 7.80e-04, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 12, epoch_time: 27s, train_loss: 0.451, best_loss: 0.437, lr: 2.00e-02, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 13, epoch_time: 28s, train_loss: 0.451, best_loss: 0.437, lr: 1.98e-02, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 14, epoch_time: 26s, train_loss: 0.451, best_loss: 0.437, lr: 1.92e-02, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 15, epoch_time: 33s, train_loss: 0.451, best_loss: 0.437, lr: 1.83e-02, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 16, epoch_time: 33s, train_loss: 0.451, best_loss: 0.437, lr: 1.71e-02, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 17, epoch_time: 38s, train_loss: 0.451, best_loss: 0.437, lr: 1.56e-02, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
epoch: 18, epoch_time: 31s, train_loss: 0.451, best_loss: 0.437, lr: 1.38e-02, train_mIoU: 0.021, best_train_mIoU: 0.044, valid_mIoU: 0.027, best_valid_mIoU: 0.027
