Start on cuda:0!
8 examples in training set and 2 examples in validation set
epoch: 0, epoch_time: 29s, train_loss: 0.043, best_loss: 0.043, lr: 2.00e-02, train_mIoU: 0.257, best_train_mIoU: 0.257, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 1, epoch_time: 23s, train_loss: 0.030, best_loss: 0.030, lr: 1.71e-02, train_mIoU: 0.430, best_train_mIoU: 0.430, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 2, epoch_time: 25s, train_loss: 0.032, best_loss: 0.030, lr: 1.00e-02, train_mIoU: 0.422, best_train_mIoU: 0.430, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 3, epoch_time: 25s, train_loss: 0.028, best_loss: 0.028, lr: 2.95e-03, train_mIoU: 0.433, best_train_mIoU: 0.433, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 4, epoch_time: 24s, train_loss: 0.033, best_loss: 0.028, lr: 2.00e-02, train_mIoU: 0.421, best_train_mIoU: 0.433, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 5, epoch_time: 23s, train_loss: 0.031, best_loss: 0.028, lr: 1.92e-02, train_mIoU: 0.425, best_train_mIoU: 0.433, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 6, epoch_time: 24s, train_loss: 0.030, best_loss: 0.028, lr: 1.71e-02, train_mIoU: 0.429, best_train_mIoU: 0.433, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 7, epoch_time: 23s, train_loss: 0.029, best_loss: 0.028, lr: 1.38e-02, train_mIoU: 0.431, best_train_mIoU: 0.433, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 8, epoch_time: 23s, train_loss: 0.029, best_loss: 0.028, lr: 1.00e-02, train_mIoU: 0.430, best_train_mIoU: 0.433, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 9, epoch_time: 24s, train_loss: 0.031, best_loss: 0.028, lr: 6.19e-03, train_mIoU: 0.425, best_train_mIoU: 0.433, valid_mIoU: 0.473, best_valid_mIoU: 0.473
