Start on cuda:0!
8 examples in training set and 2 examples in validation set
epoch: 0, epoch_time: 29s, train_loss: 0.616, best_loss: 0.616, lr: 2.00e-03, train_mIoU: 0.445, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 1, epoch_time: 24s, train_loss: 0.502, best_loss: 0.502, lr: 1.95e-03, train_mIoU: 0.418, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 2, epoch_time: 23s, train_loss: 0.379, best_loss: 0.379, lr: 1.81e-03, train_mIoU: 0.427, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 3, epoch_time: 23s, train_loss: 0.337, best_loss: 0.337, lr: 1.59e-03, train_mIoU: 0.421, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 4, epoch_time: 23s, train_loss: 0.297, best_loss: 0.297, lr: 1.32e-03, train_mIoU: 0.424, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 5, epoch_time: 23s, train_loss: 0.251, best_loss: 0.251, lr: 1.01e-03, train_mIoU: 0.429, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 6, epoch_time: 24s, train_loss: 0.225, best_loss: 0.225, lr: 7.04e-04, train_mIoU: 0.429, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 7, epoch_time: 24s, train_loss: 0.199, best_loss: 0.199, lr: 4.28e-04, train_mIoU: 0.435, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 8, epoch_time: 24s, train_loss: 0.204, best_loss: 0.199, lr: 2.09e-04, train_mIoU: 0.433, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 9, epoch_time: 23s, train_loss: 0.216, best_loss: 0.199, lr: 6.85e-05, train_mIoU: 0.424, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 10, epoch_time: 24s, train_loss: 0.232, best_loss: 0.199, lr: 2.00e-03, train_mIoU: 0.421, best_train_mIoU: 0.445, valid_mIoU: 0.473, best_valid_mIoU: 0.473
