Start on cuda:0!
22048 examples in training set and 9450 examples in validation set
epoch: 31, epoch_time: 37m19s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.641, best_train_mIoU: 0.650, valid_mIoU: 0.627, best_valid_mIoU: 0.640
epoch: 32, epoch_time: 37m15s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.637, best_valid_mIoU: 0.640
epoch: 33, epoch_time: 37m34s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.623, best_valid_mIoU: 0.640
epoch: 34, epoch_time: 37m30s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.638, best_valid_mIoU: 0.640
epoch: 35, epoch_time: 37m21s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.616, best_valid_mIoU: 0.640
epoch: 36, epoch_time: 37m23s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.631, best_valid_mIoU: 0.640
epoch: 37, epoch_time: 37m15s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.643, best_train_mIoU: 0.650, valid_mIoU: 0.609, best_valid_mIoU: 0.640
epoch: 38, epoch_time: 37m10s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.647, best_train_mIoU: 0.650, valid_mIoU: 0.626, best_valid_mIoU: 0.640
epoch: 39, epoch_time: 37m22s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.636, best_valid_mIoU: 0.640
epoch: 40, epoch_time: 37m30s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.647, best_train_mIoU: 0.650, valid_mIoU: 0.610, best_valid_mIoU: 0.640
epoch: 41, epoch_time: 37m15s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.644, best_train_mIoU: 0.650, valid_mIoU: 0.600, best_valid_mIoU: 0.640
epoch: 42, epoch_time: 37m15s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.602, best_valid_mIoU: 0.640
epoch: 43, epoch_time: 37m28s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.642, best_train_mIoU: 0.650, valid_mIoU: 0.633, best_valid_mIoU: 0.640
epoch: 44, epoch_time: 37m15s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.627, best_valid_mIoU: 0.640
epoch: 45, epoch_time: 37m13s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.646, best_train_mIoU: 0.650, valid_mIoU: 0.635, best_valid_mIoU: 0.640
epoch: 46, epoch_time: 37m17s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.641, best_train_mIoU: 0.650, valid_mIoU: 0.631, best_valid_mIoU: 0.640
epoch: 47, epoch_time: 37m13s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.650, best_train_mIoU: 0.650, valid_mIoU: 0.624, best_valid_mIoU: 0.640
epoch: 48, epoch_time: 37m10s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.646, best_train_mIoU: 0.650, valid_mIoU: 0.638, best_valid_mIoU: 0.640
epoch: 49, epoch_time: 37m21s, train_loss: 0.018, best_loss: 0.018, lr: 0.002, train_mIoU: 0.645, best_train_mIoU: 0.650, valid_mIoU: 0.603, best_valid_mIoU: 0.640
