Start on cuda:0!
12 examples in training set and 4 examples in validation set
epoch: 0, epoch_time: 46s, train_loss: 0.452, best_loss: 0.452, lr: 2.00e-02, train_mIoU: 0.030, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
epoch: 1, epoch_time: 27s, train_loss: 0.442, best_loss: 0.442, lr: 1.71e-02, train_mIoU: 0.024, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
epoch: 2, epoch_time: 27s, train_loss: 0.442, best_loss: 0.442, lr: 1.00e-02, train_mIoU: 0.024, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
epoch: 3, epoch_time: 26s, train_loss: 0.442, best_loss: 0.442, lr: 2.95e-03, train_mIoU: 0.024, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
epoch: 4, epoch_time: 26s, train_loss: 0.442, best_loss: 0.442, lr: 2.00e-02, train_mIoU: 0.024, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
epoch: 5, epoch_time: 26s, train_loss: 0.442, best_loss: 0.442, lr: 1.92e-02, train_mIoU: 0.024, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
epoch: 6, epoch_time: 27s, train_loss: 0.442, best_loss: 0.442, lr: 1.71e-02, train_mIoU: 0.024, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
epoch: 7, epoch_time: 26s, train_loss: 0.442, best_loss: 0.442, lr: 1.38e-02, train_mIoU: 0.024, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
epoch: 8, epoch_time: 26s, train_loss: 0.442, best_loss: 0.442, lr: 1.00e-02, train_mIoU: 0.024, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
epoch: 9, epoch_time: 27s, train_loss: 0.442, best_loss: 0.442, lr: 6.19e-03, train_mIoU: 0.024, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
epoch: 10, epoch_time: 28s, train_loss: 0.442, best_loss: 0.442, lr: 2.95e-03, train_mIoU: 0.024, best_train_mIoU: 0.030, valid_mIoU: 0.014, best_valid_mIoU: 0.014
