Start on cuda:0!
8 examples in training set and 2 examples in validation set
epoch: 0, epoch_time: 42s, train_loss: 0.038, best_loss: 0.038, lr: 2.00e-03, train_mIoU: 0.370, best_train_mIoU: 0.370, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 1, epoch_time: 36s, train_loss: 0.030, best_loss: 0.030, lr: 1.95e-03, train_mIoU: 0.427, best_train_mIoU: 0.427, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 2, epoch_time: 36s, train_loss: 0.027, best_loss: 0.027, lr: 1.81e-03, train_mIoU: 0.437, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 3, epoch_time: 34s, train_loss: 0.030, best_loss: 0.027, lr: 1.59e-03, train_mIoU: 0.429, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 4, epoch_time: 34s, train_loss: 0.032, best_loss: 0.027, lr: 1.32e-03, train_mIoU: 0.422, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 5, epoch_time: 34s, train_loss: 0.031, best_loss: 0.027, lr: 1.01e-03, train_mIoU: 0.426, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 6, epoch_time: 34s, train_loss: 0.029, best_loss: 0.027, lr: 7.04e-04, train_mIoU: 0.431, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 7, epoch_time: 34s, train_loss: 0.031, best_loss: 0.027, lr: 4.28e-04, train_mIoU: 0.426, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 8, epoch_time: 34s, train_loss: 0.029, best_loss: 0.027, lr: 2.09e-04, train_mIoU: 0.432, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 9, epoch_time: 34s, train_loss: 0.029, best_loss: 0.027, lr: 6.85e-05, train_mIoU: 0.432, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 10, epoch_time: 35s, train_loss: 0.032, best_loss: 0.027, lr: 2.00e-03, train_mIoU: 0.422, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 11, epoch_time: 36s, train_loss: 0.029, best_loss: 0.027, lr: 1.99e-03, train_mIoU: 0.432, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 12, epoch_time: 35s, train_loss: 0.029, best_loss: 0.027, lr: 1.95e-03, train_mIoU: 0.433, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 13, epoch_time: 35s, train_loss: 0.028, best_loss: 0.027, lr: 1.89e-03, train_mIoU: 0.435, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 14, epoch_time: 34s, train_loss: 0.027, best_loss: 0.027, lr: 1.81e-03, train_mIoU: 0.436, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 15, epoch_time: 36s, train_loss: 0.030, best_loss: 0.027, lr: 1.71e-03, train_mIoU: 0.429, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 16, epoch_time: 35s, train_loss: 0.030, best_loss: 0.027, lr: 1.59e-03, train_mIoU: 0.429, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 17, epoch_time: 34s, train_loss: 0.031, best_loss: 0.027, lr: 1.46e-03, train_mIoU: 0.425, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 18, epoch_time: 34s, train_loss: 0.029, best_loss: 0.027, lr: 1.32e-03, train_mIoU: 0.430, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 19, epoch_time: 34s, train_loss: 0.030, best_loss: 0.027, lr: 1.16e-03, train_mIoU: 0.429, best_train_mIoU: 0.437, valid_mIoU: 0.473, best_valid_mIoU: 0.473
