Start on cuda:0!
8 examples in training set and 2 examples in validation set
epoch: 0, epoch_time: 44s, train_loss: 0.032, best_loss: 0.032, lr: 2.00e-04, train_mIoU: 0.462, best_train_mIoU: 0.462, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 1, epoch_time: 34s, train_loss: 0.030, best_loss: 0.030, lr: 1.95e-04, train_mIoU: 0.420, best_train_mIoU: 0.462, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 2, epoch_time: 34s, train_loss: 0.022, best_loss: 0.022, lr: 1.81e-04, train_mIoU: 0.437, best_train_mIoU: 0.462, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 3, epoch_time: 35s, train_loss: 0.022, best_loss: 0.022, lr: 1.59e-04, train_mIoU: 0.417, best_train_mIoU: 0.462, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 4, epoch_time: 35s, train_loss: 0.018, best_loss: 0.018, lr: 1.32e-04, train_mIoU: 0.430, best_train_mIoU: 0.462, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 5, epoch_time: 39s, train_loss: 0.017, best_loss: 0.017, lr: 1.01e-04, train_mIoU: 0.432, best_train_mIoU: 0.462, valid_mIoU: 0.473, best_valid_mIoU: 0.473
epoch: 6, epoch_time: 37s, train_loss: 0.020, best_loss: 0.017, lr: 7.04e-05, train_mIoU: 0.426, best_train_mIoU: 0.462, valid_mIoU: 0.474, best_valid_mIoU: 0.474
epoch: 7, epoch_time: 37s, train_loss: 0.018, best_loss: 0.017, lr: 4.28e-05, train_mIoU: 0.417, best_train_mIoU: 0.462, valid_mIoU: 0.476, best_valid_mIoU: 0.476
epoch: 8, epoch_time: 37s, train_loss: 0.018, best_loss: 0.017, lr: 2.09e-05, train_mIoU: 0.436, best_train_mIoU: 0.462, valid_mIoU: 0.478, best_valid_mIoU: 0.478
epoch: 9, epoch_time: 37s, train_loss: 0.017, best_loss: 0.017, lr: 6.85e-06, train_mIoU: 0.435, best_train_mIoU: 0.462, valid_mIoU: 0.480, best_valid_mIoU: 0.480
epoch: 10, epoch_time: 41s, train_loss: 0.018, best_loss: 0.017, lr: 2.00e-04, train_mIoU: 0.503, best_train_mIoU: 0.503, valid_mIoU: 0.590, best_valid_mIoU: 0.590
epoch: 11, epoch_time: 42s, train_loss: 0.018, best_loss: 0.017, lr: 1.99e-04, train_mIoU: 0.606, best_train_mIoU: 0.606, valid_mIoU: 0.602, best_valid_mIoU: 0.602
epoch: 12, epoch_time: 41s, train_loss: 0.017, best_loss: 0.017, lr: 1.95e-04, train_mIoU: 0.700, best_train_mIoU: 0.700, valid_mIoU: 0.638, best_valid_mIoU: 0.638
epoch: 13, epoch_time: 41s, train_loss: 0.017, best_loss: 0.017, lr: 1.89e-04, train_mIoU: 0.727, best_train_mIoU: 0.727, valid_mIoU: 0.646, best_valid_mIoU: 0.646
epoch: 14, epoch_time: 34s, train_loss: 0.017, best_loss: 0.017, lr: 1.81e-04, train_mIoU: 0.711, best_train_mIoU: 0.727, valid_mIoU: 0.646, best_valid_mIoU: 0.646
epoch: 15, epoch_time: 34s, train_loss: 0.016, best_loss: 0.016, lr: 1.71e-04, train_mIoU: 0.723, best_train_mIoU: 0.727, valid_mIoU: 0.641, best_valid_mIoU: 0.646
epoch: 16, epoch_time: 37s, train_loss: 0.017, best_loss: 0.016, lr: 1.59e-04, train_mIoU: 0.756, best_train_mIoU: 0.756, valid_mIoU: 0.642, best_valid_mIoU: 0.646
epoch: 17, epoch_time: 40s, train_loss: 0.016, best_loss: 0.016, lr: 1.46e-04, train_mIoU: 0.757, best_train_mIoU: 0.757, valid_mIoU: 0.647, best_valid_mIoU: 0.647
epoch: 18, epoch_time: 37s, train_loss: 0.024, best_loss: 0.016, lr: 1.32e-04, train_mIoU: 0.549, best_train_mIoU: 0.757, valid_mIoU: 0.648, best_valid_mIoU: 0.648
epoch: 19, epoch_time: 37s, train_loss: 0.016, best_loss: 0.016, lr: 1.16e-04, train_mIoU: 0.758, best_train_mIoU: 0.758, valid_mIoU: 0.632, best_valid_mIoU: 0.648
epoch: 20, epoch_time: 41s, train_loss: 0.019, best_loss: 0.016, lr: 1.01e-04, train_mIoU: 0.668, best_train_mIoU: 0.758, valid_mIoU: 0.646, best_valid_mIoU: 0.648
epoch: 21, epoch_time: 45s, train_loss: 0.014, best_loss: 0.014, lr: 8.55e-05, train_mIoU: 0.807, best_train_mIoU: 0.807, valid_mIoU: 0.663, best_valid_mIoU: 0.663
epoch: 22, epoch_time: 35s, train_loss: 0.014, best_loss: 0.014, lr: 7.04e-05, train_mIoU: 0.802, best_train_mIoU: 0.807, valid_mIoU: 0.659, best_valid_mIoU: 0.663
epoch: 23, epoch_time: 37s, train_loss: 0.014, best_loss: 0.014, lr: 5.61e-05, train_mIoU: 0.811, best_train_mIoU: 0.811, valid_mIoU: 0.656, best_valid_mIoU: 0.663
epoch: 24, epoch_time: 34s, train_loss: 0.016, best_loss: 0.014, lr: 4.28e-05, train_mIoU: 0.753, best_train_mIoU: 0.811, valid_mIoU: 0.656, best_valid_mIoU: 0.663
epoch: 25, epoch_time: 34s, train_loss: 0.014, best_loss: 0.014, lr: 3.10e-05, train_mIoU: 0.792, best_train_mIoU: 0.811, valid_mIoU: 0.658, best_valid_mIoU: 0.663
epoch: 26, epoch_time: 34s, train_loss: 0.014, best_loss: 0.014, lr: 2.09e-05, train_mIoU: 0.800, best_train_mIoU: 0.811, valid_mIoU: 0.660, best_valid_mIoU: 0.663
epoch: 27, epoch_time: 33s, train_loss: 0.016, best_loss: 0.014, lr: 1.28e-05, train_mIoU: 0.753, best_train_mIoU: 0.811, valid_mIoU: 0.661, best_valid_mIoU: 0.663
epoch: 28, epoch_time: 37s, train_loss: 0.014, best_loss: 0.014, lr: 6.85e-06, train_mIoU: 0.776, best_train_mIoU: 0.811, valid_mIoU: 0.663, best_valid_mIoU: 0.663
epoch: 29, epoch_time: 37s, train_loss: 0.015, best_loss: 0.014, lr: 3.22e-06, train_mIoU: 0.770, best_train_mIoU: 0.811, valid_mIoU: 0.663, best_valid_mIoU: 0.663
epoch: 30, epoch_time: 37s, train_loss: 0.013, best_loss: 0.013, lr: 2.00e-04, train_mIoU: 0.797, best_train_mIoU: 0.811, valid_mIoU: 0.670, best_valid_mIoU: 0.670
epoch: 31, epoch_time: 35s, train_loss: 0.019, best_loss: 0.013, lr: 2.00e-04, train_mIoU: 0.629, best_train_mIoU: 0.811, valid_mIoU: 0.665, best_valid_mIoU: 0.670
epoch: 32, epoch_time: 35s, train_loss: 0.020, best_loss: 0.013, lr: 1.99e-04, train_mIoU: 0.612, best_train_mIoU: 0.811, valid_mIoU: 0.593, best_valid_mIoU: 0.670
epoch: 33, epoch_time: 34s, train_loss: 0.016, best_loss: 0.013, lr: 1.97e-04, train_mIoU: 0.744, best_train_mIoU: 0.811, valid_mIoU: 0.654, best_valid_mIoU: 0.670
epoch: 34, epoch_time: 34s, train_loss: 0.026, best_loss: 0.013, lr: 1.95e-04, train_mIoU: 0.574, best_train_mIoU: 0.811, valid_mIoU: 0.660, best_valid_mIoU: 0.670
epoch: 35, epoch_time: 34s, train_loss: 0.015, best_loss: 0.013, lr: 1.92e-04, train_mIoU: 0.766, best_train_mIoU: 0.811, valid_mIoU: 0.648, best_valid_mIoU: 0.670
epoch: 36, epoch_time: 34s, train_loss: 0.017, best_loss: 0.013, lr: 1.89e-04, train_mIoU: 0.714, best_train_mIoU: 0.811, valid_mIoU: 0.654, best_valid_mIoU: 0.670
epoch: 37, epoch_time: 34s, train_loss: 0.017, best_loss: 0.013, lr: 1.85e-04, train_mIoU: 0.661, best_train_mIoU: 0.811, valid_mIoU: 0.656, best_valid_mIoU: 0.670
epoch: 38, epoch_time: 39s, train_loss: 0.014, best_loss: 0.013, lr: 1.81e-04, train_mIoU: 0.773, best_train_mIoU: 0.811, valid_mIoU: 0.671, best_valid_mIoU: 0.671
epoch: 39, epoch_time: 34s, train_loss: 0.015, best_loss: 0.013, lr: 1.76e-04, train_mIoU: 0.784, best_train_mIoU: 0.811, valid_mIoU: 0.657, best_valid_mIoU: 0.671
epoch: 40, epoch_time: 35s, train_loss: 0.015, best_loss: 0.013, lr: 1.71e-04, train_mIoU: 0.743, best_train_mIoU: 0.811, valid_mIoU: 0.649, best_valid_mIoU: 0.671
epoch: 41, epoch_time: 37s, train_loss: 0.016, best_loss: 0.013, lr: 1.65e-04, train_mIoU: 0.728, best_train_mIoU: 0.811, valid_mIoU: 0.676, best_valid_mIoU: 0.676
epoch: 42, epoch_time: 34s, train_loss: 0.017, best_loss: 0.013, lr: 1.59e-04, train_mIoU: 0.690, best_train_mIoU: 0.811, valid_mIoU: 0.644, best_valid_mIoU: 0.676
epoch: 43, epoch_time: 35s, train_loss: 0.018, best_loss: 0.013, lr: 1.53e-04, train_mIoU: 0.671, best_train_mIoU: 0.811, valid_mIoU: 0.667, best_valid_mIoU: 0.676
epoch: 44, epoch_time: 34s, train_loss: 0.014, best_loss: 0.013, lr: 1.46e-04, train_mIoU: 0.759, best_train_mIoU: 0.811, valid_mIoU: 0.662, best_valid_mIoU: 0.676
epoch: 45, epoch_time: 37s, train_loss: 0.013, best_loss: 0.013, lr: 1.39e-04, train_mIoU: 0.770, best_train_mIoU: 0.811, valid_mIoU: 0.679, best_valid_mIoU: 0.679
epoch: 46, epoch_time: 37s, train_loss: 0.015, best_loss: 0.013, lr: 1.32e-04, train_mIoU: 0.764, best_train_mIoU: 0.811, valid_mIoU: 0.681, best_valid_mIoU: 0.681
epoch: 47, epoch_time: 35s, train_loss: 0.014, best_loss: 0.013, lr: 1.24e-04, train_mIoU: 0.769, best_train_mIoU: 0.811, valid_mIoU: 0.678, best_valid_mIoU: 0.681
epoch: 48, epoch_time: 35s, train_loss: 0.014, best_loss: 0.013, lr: 1.16e-04, train_mIoU: 0.768, best_train_mIoU: 0.811, valid_mIoU: 0.677, best_valid_mIoU: 0.681
epoch: 49, epoch_time: 34s, train_loss: 0.013, best_loss: 0.013, lr: 1.09e-04, train_mIoU: 0.796, best_train_mIoU: 0.811, valid_mIoU: 0.671, best_valid_mIoU: 0.681
epoch: 50, epoch_time: 35s, train_loss: 0.014, best_loss: 0.013, lr: 1.01e-04, train_mIoU: 0.783, best_train_mIoU: 0.811, valid_mIoU: 0.670, best_valid_mIoU: 0.681
epoch: 51, epoch_time: 34s, train_loss: 0.015, best_loss: 0.013, lr: 9.32e-05, train_mIoU: 0.759, best_train_mIoU: 0.811, valid_mIoU: 0.672, best_valid_mIoU: 0.681
epoch: 52, epoch_time: 34s, train_loss: 0.014, best_loss: 0.013, lr: 8.55e-05, train_mIoU: 0.762, best_train_mIoU: 0.811, valid_mIoU: 0.677, best_valid_mIoU: 0.681
epoch: 53, epoch_time: 34s, train_loss: 0.013, best_loss: 0.013, lr: 7.79e-05, train_mIoU: 0.792, best_train_mIoU: 0.811, valid_mIoU: 0.681, best_valid_mIoU: 0.681
epoch: 54, epoch_time: 37s, train_loss: 0.013, best_loss: 0.013, lr: 7.04e-05, train_mIoU: 0.787, best_train_mIoU: 0.811, valid_mIoU: 0.683, best_valid_mIoU: 0.683
epoch: 55, epoch_time: 34s, train_loss: 0.015, best_loss: 0.013, lr: 6.31e-05, train_mIoU: 0.730, best_train_mIoU: 0.811, valid_mIoU: 0.679, best_valid_mIoU: 0.683
epoch: 56, epoch_time: 34s, train_loss: 0.013, best_loss: 0.013, lr: 5.61e-05, train_mIoU: 0.792, best_train_mIoU: 0.811, valid_mIoU: 0.670, best_valid_mIoU: 0.683
epoch: 57, epoch_time: 35s, train_loss: 0.013, best_loss: 0.013, lr: 4.93e-05, train_mIoU: 0.792, best_train_mIoU: 0.811, valid_mIoU: 0.670, best_valid_mIoU: 0.683
epoch: 58, epoch_time: 34s, train_loss: 0.014, best_loss: 0.013, lr: 4.28e-05, train_mIoU: 0.786, best_train_mIoU: 0.811, valid_mIoU: 0.666, best_valid_mIoU: 0.683
epoch: 59, epoch_time: 34s, train_loss: 0.014, best_loss: 0.013, lr: 3.67e-05, train_mIoU: 0.790, best_train_mIoU: 0.811, valid_mIoU: 0.670, best_valid_mIoU: 0.683
epoch: 60, epoch_time: 34s, train_loss: 0.013, best_loss: 0.013, lr: 3.10e-05, train_mIoU: 0.795, best_train_mIoU: 0.811, valid_mIoU: 0.676, best_valid_mIoU: 0.683
